t	S1	S2	S3	S4	S5	S6	S7
0.000000000000000000e+00	5.014427200000000084e-01	1.954786659999999898e+00	1.978875900000000021e-01	1.476914800000000139e-01	1.648868202709269370e-01	1.085517388070002531e-01	6.404701999999999618e-02
5.002501250625312514e-03	4.711998417609143952e-01	1.971446401298804219e+00	1.879253625614883128e-01	1.857327579323392042e-01	1.676425580699786588e-01	1.621009610840177251e-01	6.414319240911110775e-02
1.000500250125062503e-02	4.385458003770779656e-01	1.991557814334527610e+00	1.807111243407982237e-01	2.146572974296586389e-01	1.815332973126947136e-01	3.065695184155396991e-01	6.445249404986273800e-02
1.500750375187593841e-02	4.058870590849347759e-01	2.010559597610807714e+00	1.756677291144928543e-01	2.367851043350963913e-01	1.873108650600265046e-01	2.027515515847793659e-01	6.492059122208480859e-02
2.001000500250125005e-02	3.742215060382568237e-01	2.026726067847937074e+00	1.723077238464690297e-01	2.539351295090205296e-01	1.915278984308238786e-01	1.514430774157444204e-01	6.550732620311985888e-02
2.501250625312656170e-02	3.439544334973351769e-01	2.039489733723003351e+00	1.702290945056020854e-01	2.674729623778947518e-01	1.941314833975474607e-01	2.378867046819576614e-01	6.618339256758667966e-02
3.001500750375187682e-02	3.152628883767159551e-01	2.048704250867150023e+00	1.691070425986727632e-01	2.783909715508340876e-01	1.964616584060598359e-01	2.629788367514889758e-01	6.692749358761432288e-02
3.501750875437718846e-02	2.882604314806110346e-01	2.054320875760497600e+00	1.686836995458878274e-01	2.873923815225029599e-01	1.947784263531214810e-01	2.732308800825458683e-01	6.772408551048061942e-02
4.002001000500250011e-02	2.630725980839738742e-01	2.056247809400812532e+00	1.687570750242427808e-01	2.949649438527242595e-01	1.916506423673881576e-01	3.019193034374820783e-01	6.856166900366650330e-02
4.502251125562781175e-02	2.398704439437324976e-01	2.054293595324816035e+00	1.691702618191135987e-01	3.014396651488647216e-01	1.905734416044765900e-01	3.391742151271742167e-01	6.943153463476371690e-02
5.002501250625312340e-02	2.188812197086075217e-01	2.048154966186981785e+00	1.698016213933431773e-01	3.070351102694588996e-01	1.888594179292814312e-01	4.815824080273691243e-01	7.032685893088561069e-02
5.502751375687843505e-02	2.003810080696961649e-01	2.037438769652104131e+00	1.705564074553244658e-01	3.118898155527543570e-01	1.889551270397687166e-01	4.313519502590272836e-01	7.124206018883620650e-02
6.003001500750375363e-02	1.846663699755363708e-01	2.021723134690008195e+00	1.713601067308279102e-01	3.160858560767034753e-01	1.867817181202401644e-01	5.083048629020336939e-01	7.217234318956114447e-02
6.503251625812905834e-02	1.720007978372097845e-01	2.000665116378413266e+00	1.721536798106748645e-01	3.196664997070979286e-01	1.830469440274028747e-01	3.805665728205053222e-01	7.311338220876449634e-02
7.003501750875437692e-02	1.625419019329059078e-01	1.974141720852052861e+00	1.728907453674966843e-01	3.226503413356958672e-01	1.821241846764719008e-01	4.818307604155965818e-01	7.406111051066326112e-02
7.503751875937968163e-02	1.562758405297763331e-01	1.942371118194373247e+00	1.735363997288836280e-01	3.250433791607019174e-01	1.773064657520769249e-01	6.018014113188896452e-01	7.501159717088626278e-02
8.004002001000500022e-02	1.529972798958111335e-01	1.905939674439777631e+00	1.740668565120791489e-01	3.268491532546261014e-01	1.728592515962656673e-01	6.372529032276571526e-01	7.596099770552385000e-02
8.504252126063031880e-02	1.523519396248617375e-01	1.865704957874219083e+00	1.744688246312686153e-01	3.280760574077949965e-01	1.699683884396505640e-01	7.353550855872208469e-01	7.690556234467367525e-02
9.004502251125562351e-02	1.539167247661500371e-01	1.822628522585053812e+00	1.747379664119567688e-01	3.287410641750274087e-01	1.733370724155301190e-01	7.762366975888406184e-01	7.784167990970165818e-02
9.504752376188094209e-02	1.572746178278256191e-01	1.777625145478960222e+00	1.748765715977648461e-01	3.288701586808863153e-01	1.730702410646537681e-01	9.382276814028860379e-01	7.876593393818484556e-02
1.000500250125062468e-01	1.620595570283093478e-01	1.731476489721368583e+00	1.748910685794743680e-01	3.284966725372884810e-01	1.717295689358066257e-01	9.333412388337932741e-01	7.967515321045001708e-02
1.050525262631315654e-01	1.679717299236162809e-01	1.684805972832533527e+00	1.747899265821077353e-01	3.276588178738086832e-01	1.597534162331029906e-01	9.376722719440057086e-01	8.056644755491869370e-02
1.100550275137568701e-01	1.747749043897328658e-01	1.638089794817593647e+00	1.745821802324542538e-01	3.263973024305383830e-01	1.584960277623927161e-01	9.842314952921906723e-01	8.143722709714831809e-02
1.150575287643821887e-01	1.822863894644110583e-01	1.591682036689021862e+00	1.742765388025087625e-01	3.247534129683296578e-01	1.628194781891282583e-01	1.068007076056155968e+00	8.228520726861984769e-02
1.200600300150075073e-01	1.903657433926240483e-01	1.545841308892900612e+00	1.738809358715424636e-01	3.227676453989963834e-01	1.587967142740969728e-01	1.186213017272332415e+00	8.310840313016711056e-02
1.250625312656328258e-01	1.989048134721596306e-01	1.500753813130616621e+00	1.734023637482417779e-01	3.204788112616077100e-01	1.667737848319047755e-01	1.192005007704271646e+00	8.390511651936412296e-02
1.300650325162581167e-01	2.078197998202314933e-01	1.456551586215461880e+00	1.728468684576458525e-01	3.179235059056305657e-01	1.591021978556722283e-01	1.231111306302323571e+00	8.467391890638840957e-02
1.350675337668834353e-01	2.170452043662243480e-01	1.413326368271262456e+00	1.722196285085246803e-01	3.151358348321087743e-01	1.588901487014470759e-01	1.375312757612838999e+00	8.541363193502578277e-02
1.400700350175087538e-01	2.265293263852853067e-01	1.371139918634171950e+00	1.715250660098662505e-01	3.121473129669567470e-01	1.576546431969907125e-01	1.331560895707894154e+00	8.612330710599283567e-02
1.450725362681340724e-01	2.362309312414874740e-01	1.330031643338016156e+00	1.707669640554001222e-01	3.089868751475574604e-01	1.495360730524102899e-01	1.568226066146239051e+00	8.680220551246133065e-02
1.500750375187593633e-01	2.461167909895847772e-01	1.290024223991403041e+00	1.699485771175195947e-01	3.056809558377491243e-01	1.440777964638368935e-01	1.403857361087853528e+00	8.744977819013603770e-02
1.550775387693846818e-01	2.561598646619804853e-01	1.251127778400616952e+00	1.690727284331430824e-01	3.022536089918353985e-01	1.461540553394831687e-01	1.521531279114704205e+00	8.806564742726029349e-02
1.600800400200100004e-01	2.663379263927304064e-01	1.213342989901600832e+00	1.681418927860782453e-01	2.987266473035002368e-01	1.589906863562765005e-01	1.651740263622781368e+00	8.864958923265039981e-02
1.650825412706353190e-01	2.766325427870435227e-01	1.176663430756857309e+00	1.671582669286913181e-01	2.951197929341534687e-01	1.436186196113268254e-01	1.577616505443049766e+00	8.920151696958231180e-02
1.700850425212606376e-01	2.870282919257590715e-01	1.141077327178023904e+00	1.661238269978237148e-01	2.914508281503355169e-01	1.435068954733976498e-01	1.715644053718970330e+00	8.972146624421774297e-02
1.750875437718859284e-01	2.975121653865707705e-01	1.106568899929924354e+00	1.650403755959739260e-01	2.877357428594950473e-01	1.402071706844135457e-01	1.643702458510476916e+00	9.020958099454993995e-02
1.800900450225112470e-01	3.080731049799004806e-01	1.073119392664480642e+00	1.639095809339371490e-01	2.839888766149942789e-01	1.372258727730221728e-01	1.976120181664245301e+00	9.066610070955515022e-02
1.850925462731365656e-01	3.187016405663068430e-01	1.040707865410770872e+00	1.627330083167707053e-01	2.802230526630996033e-01	1.379379428277609232e-01	1.700038102720291100e+00	9.109134875095944994e-02
1.900950475237618842e-01	3.293896104382026957e-01	1.009311796753737278e+00	1.615121458088833173e-01	2.764497042170567798e-01	1.344999632525488709e-01	1.839369278265705399e+00	9.148572169902161044e-02
1.950975487743871750e-01	3.401299286777162978e-01	9.789075773994485585e-01	1.602484256965112375e-01	2.726789917571313948e-01	1.413313957973997004e-01	1.896327191951117541e+00	9.184967963116699718e-02
2.001000500250124936e-01	3.509164070228527055e-01	9.494708769008700644e-01	1.589432416485092037e-01	2.689199126800296269e-01	1.344959991059688498e-01	2.086729132788665009e+00	9.218373729223809654e-02
2.051025512756378122e-01	3.617436095393459783e-01	9.209769355715273775e-01	1.575979628818221234e-01	2.651804026515414692e-01	1.392433456027367955e-01	1.878470846640288849e+00	9.248845607739167307e-02
2.101050525262631308e-01	3.726067338601466994e-01	8.934007953263664037e-01	1.562139456075638810e-01	2.614674292208657436e-01	1.357509633492487156e-01	2.055049007259129645e+00	9.276443677159749990e-02
2.151075537768884494e-01	3.835015143675455374e-01	8.667174805345685407e-01	1.547925422220972069e-01	2.577870781728841543e-01	1.369746433878288316e-01	2.091347379070101820e+00	9.301231298602002928e-02
2.201100550275137402e-01	3.944241420766542161e-01	8.409021411633593734e-01	1.533351090019894614e-01	2.541446333635978272e-01	1.338994303561068799e-01	2.154791029468041241e+00	9.323274521286183114e-02
2.251125562781390588e-01	4.053711988571883640e-01	8.159301638309752747e-01	1.518430120044362008e-01	2.505446500122087694e-01	1.289067464783442418e-01	2.145379195202608003e+00	9.342641548172980759e-02
2.301150575287643774e-01	4.163396014487131813e-01	7.917772612551542410e-01	1.503176318611267603e-01	2.469910223385810566e-01	1.264456744742244454e-01	2.135559709471182899e+00	9.359402253099367852e-02
2.351175587793896959e-01	4.273265597098634405e-01	7.684195298332543445e-01	1.487603670080582252e-01	2.434870448935150533e-01	1.314305669080983174e-01	2.215388250285911020e+00	9.373627756444075088e-02
2.401200600300150145e-01	4.383295310022731206e-01	7.458335178431785284e-01	1.471726369564285153e-01	2.400354706973641117e-01	1.286735100674272492e-01	2.287577461517174005e+00	9.385390025512108103e-02
2.451225612806403054e-01	4.493461931669007203e-01	7.239962513075330897e-01	1.455558836282599411e-01	2.366385624572732993e-01	1.250811741917294273e-01	2.209567690574450349e+00	9.394761540675428124e-02
2.501250625312656517e-01	4.603744121329102490e-01	7.028852735292606679e-01	1.439115729491608486e-01	2.332981416636295824e-01	1.276493419469166835e-01	2.332199615703272055e+00	9.401814977001324292e-02
2.551275637818909425e-01	4.714122216944492960e-01	6.824786578275645610e-01	1.422411950820539894e-01	2.300156317550638985e-01	1.185938155551641143e-01	2.266872292403857347e+00	9.406622939696222818e-02
2.601300650325162334e-01	4.824578003857483699e-01	6.627550281765813844e-01	1.405462647597146564e-01	2.267920992183799223e-01	1.235572710074158975e-01	2.320249051927940176e+00	9.409257715067093075e-02
2.651325662831415797e-01	4.935094551828250742e-01	6.436935650752403371e-01	1.388283206432094075e-01	2.236282903501060626e-01	1.160731625801399991e-01	2.311153240568549538e+00	9.409791060579238142e-02
2.701350675337668705e-01	5.045656058514639275e-01	6.252740111652380639e-01	1.370889244614185154e-01	2.205246652279040653e-01	1.205361593031066963e-01	2.501324617278397611e+00	9.408294017661290864e-02
2.751375687843921614e-01	5.156247712473840394e-01	6.074766732569008010e-01	1.353296599442810888e-01	2.174814291729576521e-01	1.178200803848179767e-01	2.514177589176000538e+00	9.404836745372198437e-02
2.801400700350175077e-01	5.266855584545168112e-01	5.902824190038648000e-01	1.335521311820179469e-01	2.144985607798744476e-01	1.107936089917542083e-01	2.354788702365234965e+00	9.399488383507981215e-02
2.851425712856427985e-01	5.377466516946607378e-01	5.736726749902208988e-01	1.317579609295551069e-01	2.115758386317275475e-01	1.140836661070210728e-01	2.306687513949964963e+00	9.392316925198142263e-02
2.901450725362681449e-01	5.488068038982953922e-01	5.576294197107199979e-01	1.299487885032490075e-01	2.087128649000425940e-01	1.123733713602258766e-01	2.462596432784539768e+00	9.383389116158229182e-02
2.951475737868934357e-01	5.598648284180862689e-01	5.421351770987480334e-01	1.281262675608338120e-01	2.059090874897997470e-01	1.138943639486420106e-01	2.439787453972477760e+00	9.372770364902263673e-02
